type_election;sous_type_election;region;province;commune;circonscription;type_liste;parti;nom_parti_fr;nom_parti_ar;nom_fr;nom_ar;date_mandat;date_sortie;motif_sortie;votes_parti;taux_participation;total_votes
Législative;Législative-Régionale;Tanger - Tétouan - Al Hoceima;;;Circonscription régionale : Tanger - Tétouan - Al Hoceima;députée femme;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;ZINEB SIMOU;زينب السيمو;2021-10-08;;;365703;0,48;695984
Législative;Législative-Régionale;Tanger - Tétouan - Al Hoceima;;;Circonscription régionale : Tanger - Tétouan - Al Hoceima;députée femme;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;KOLOUB FATIH;قلوب فيطح;2021-10-08;;;261022;0,48;695984
Législative;Législative-Régionale;Tanger - Tétouan - Al Hoceima;;;Circonscription régionale : Tanger - Tétouan - Al Hoceima;députée femme;PI;Parti de l'Istiqlal;حزب الاستقلال;MALIKA LHYANE;مليكة لحيان;2021-10-08;;;252805;0,48;695984
Législative;Législative-Régionale;Tanger - Tétouan - Al Hoceima;;;Circonscription régionale : Tanger - Tétouan - Al Hoceima;députée femme;USFP;Union Socialiste des Forces Populaires;حزب الاتحاد الاشتراكي للقوات الشعبية;SELOUA DEMNATI;سلوى الدمناتي;2021-10-08;;;148879;0,48;695984
Législative;Législative-Régionale;Tanger - Tétouan - Al Hoceima;;;Circonscription régionale : Tanger - Tétouan - Al Hoceima;députée femme;UC;Union Constitutionnelle;حزب الاتحاد الدستوري;OUASSILA SAHLI;وسيلة الساحلي;2021-10-08;;;141104;0,48;695984
Législative;Législative-Régionale;Tanger - Tétouan - Al Hoceima;;;Circonscription régionale : Tanger - Tétouan - Al Hoceima;députée femme;MP;Mouvement Populaire;حزب الحركة الشعبية;LATIFA  AABOUTE;لطيفة اعبوث;2021-10-08;;;64245;0,48;695984
Législative;Législative-Régionale;Tanger - Tétouan - Al Hoceima;;;Circonscription régionale : Tanger - Tétouan - Al Hoceima;députée femme;PJD;Parti de la Justice et du Développement;حزب العدالة والتنمية;SALOUA BERDHI;سلوى البردعي;2021-10-08;;;54716;0,48;695984
Législative;Législative-Régionale;Tanger - Tétouan - Al Hoceima;;;Circonscription régionale : Tanger - Tétouan - Al Hoceima;députée femme;PPS;Parti du Progrès et du Socialisme;حزب التقدم والاشتراكية;NOUHA ELMOUSSAOUI;نهى الموسوي;2021-10-08;;;42061;0,48;695984
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Al Hoceima;;Al-Hoceïma;député;PI;Parti de l'Istiqlal;حزب الاستقلال;NOURDIN MOUDIAN;نور الدين مضيان;2021-10-08;2022-05-19; Violation de l’état d’urgence sanitaire;22902;0,53;104536
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Al Hoceima;;Al-Hoceïma;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;BOUTAHAR BOUTAHIRI;بوطاهر البوطاهري;2021-10-08;2022-05-19;Fraude électorale;19346;0,53;104536
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Al Hoceima;;Al-Hoceïma;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;MOHAMED ELHAMOUTI;محمد الحموتي;2021-10-08;2022-05-19;Fraude électorale;14635;0,53;104536
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Al Hoceima;;Al-Hoceïma;député;MP;Mouvement Populaire;حزب الحركة الشعبية;MOHAMED LAARAJ;محمد الاعرج;2021-10-08;2022-05-19; Violation de l’état d’urgence sanitaire;14190;0,53;104536
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Larache;;Larache;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;MOHAMED SIMOU;محمد السيمو;2021-10-08;;;35532;0,53;109765
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Larache;;Larache;député;PI;Parti de l'Istiqlal;حزب الاستقلال;NIZAR BARAKA;نزار بركة;2021-10-08;2021-11-02;Incompatibilité;24676;0,53;109765
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Larache;;Larache;député;UC;Union Constitutionnelle;حزب الاتحاد الدستوري;ABDELAZIZ EL OUADGUI;عبد العزيز الوادكي;2021-10-08;;;19068;0,53;109765
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Larache;;Larache;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;MOHAMED HAMMANI;محمد حماني;2021-10-08;;;14510;0,53;109765
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;M'Diq - Fnideq;;M'Diq - Fnideq;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;MOHAMED LARBI MERABET;محمد العربي المرابط;2021-10-08;;;9299;0,41;33314
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;M'Diq - Fnideq;;M'Diq - Fnideq;député;USFP;Union Socialiste des Forces Populaires;حزب الاتحاد الاشتراكي للقوات الشعبية;ABDENNOUR HASNAOUI;عبد النور الحسناوي;2021-10-08;;;5149;0,41;33314
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Tétouan;;Tétouan;député;RNI;Rassemblement National des Indépendants;حزب التجمع الوطني للأحرار;RACHID TALBI ALAMI;راشيد الطالبي العلمي;2021-10-08;;;26877;0,36;86087
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Tétouan;;Tétouan;député;PAM;Parti Authenticité et Modernité;حزب الأصالة والمعاصرة;MOHAMED EL ARBI AHNIN;محمد العربي احنين;2021-10-08;;;25706;0,36;86087
Législative;Législative-Locale;Tanger - Tétouan - Al Hoceima;Tétouan;;Tétouan;député;PI;Parti de l'Istiqlal;حزب الاستقلال;MONSSEF TOUB;منصف الطوب;2021-10-08;;;11798;0,36;86087
